company_id,position,profile_picture,description,tel_num,qualifications,gpa,start_date,end_date,is_active
1370,Software Engineer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-302-1625,Systems & Network Administration,2.82,2021/3/2,2021/3/2,True
459,Network Administrator,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-598-6272,Cybersecurity,2.86,2021/7/21,2021/7/21,False
831,Network Analyst,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-583-9729,Cybersecurity,2.05,2021/1/3,2022/1/3,False
464,Full Stack Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-523-4496,Information Systems,3.33,2021/6/3,2022/6/3,True
1001,Network Administrator,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-677-4450,Computer Science,3.76,2021/5/2,2022/5/2,False
1132,Network Administrator,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-771-0955,Computer Engineering,3.07,2021/2/12,2021/2/12,False
1172,Network Analyst,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-863-9716,Cybersecurity,2.19,2021/6/27,2022/6/27,False
1336,Data Analysts,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-080-4162,Computer Science,2.35,2021/6/24,2022/6/24,False
918,Data Analysts,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-551-3504,Computer Science,3.38,2021/3/1,2021/3/1,True
1084,Back End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-082-0323,Systems & Network Administration,2.98,2021/10/6,2021/10/6,False
857,Data Analysts,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-841-3812,Information Technology,2.29,2021/12/22,2021/12/22,False
1049,Front End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-058-6984,Computer Science,2.4,2021/5/11,2021/5/11,True
380,Data Analysts,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-694-0301,Computer Engineering,2.76,2021/4/19,2021/4/19,False
679,Network Administrator,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-137-8472,Computer Science,3.14,2021/6/21,2022/6/21,False
1414,Full Stack Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-779-0541,Systems & Network Administration,3.87,2021/10/25,2021/10/25,False
1021,Network Analyst,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-668-9391,Computer Engineering,2.23,2021/4/7,2021/4/7,True
578,Front End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-762-8554,Systems & Network Administration,2.62,2021/1/4,2022/1/4,False
939,Network Administrator,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-161-5496,Computer Science,2.22,2021/8/13,2021/8/13,False
414,Full Stack Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-440-4760,Information Science,2.09,2021/10/22,2021/10/22,False
1430,Network Administrator,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-833-3732,Computer Science,3.25,2021/2/9,2021/2/9,False
1301,Network Administrator,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-574-8460,Information Science,3.85,2021/6/3,2022/6/3,False
739,Data Analysts,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-432-2392,Computer Engineering,3.17,2021/1/21,2022/1/21,False
636,Data Analysts,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-862-9037,Systems & Network Administration,2.81,2021/2/16,2022/2/16,False
898,Network Administrator,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-985-7143,Cybersecurity,3.64,2021/9/8,2021/9/8,True
1109,Back End Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-721-6289,Cybersecurity,2.89,2021/12/13,2021/12/13,True
788,Back End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-234-1760,Information Science,3.91,2021/7/2,2021/7/2,False
346,Back End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-244-9288,Information Science,2.49,2021/2/22,2022/2/22,False
1392,Data Analysts,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-320-9187,Information Systems,3.0,2021/7/14,2021/7/14,False
1248,Data Analysts,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-824-2638,Computer Science,2.27,2021/8/4,2022/8/4,False
579,Network Analyst,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-117-4513,Computer Engineering,3.79,2021/9/21,2022/9/21,True
811,Data Analysts,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-100-0016,Computer Science,3.76,2021/8/11,2022/8/11,True
1276,Network Analyst,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-600-6108,Systems & Network Administration,3.78,2021/10/24,2021/10/24,False
1024,Full Stack Developer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-533-0156,Computer Engineering,3.28,2021/1/12,2021/1/12,True
665,Full Stack Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-255-7099,Information Science,3.85,2021/12/21,2021/12/21,False
695,Data Analysts,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-167-0035,Computer Science,3.54,2021/8/11,2021/8/11,True
1354,Network Administrator,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-596-6259,Systems & Network Administration,3.68,2021/3/1,2021/3/1,False
1307,Network Administrator,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-373-9349,Information Technology,2.91,2021/1/17,2022/1/17,False
1295,Network Analyst,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-280-9823,Information Systems,3.46,2021/11/20,2022/11/20,False
991,Data Analysts,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-200-7021,Computer Science,2.75,2021/12/27,2022/12/27,False
1234,Software Engineer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-201-6715,Computer Science,3.19,2021/7/9,2022/7/9,False
620,Network Analyst,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-452-0476,Information Science,3.89,2021/7/6,2021/7/6,True
1112,Network Analyst,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-110-5924,Cybersecurity,3.48,2021/1/4,2021/1/4,True
535,Software Engineer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-644-2637,Cybersecurity,3.28,2021/5/5,2022/5/5,False
521,Network Analyst,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-913-1391,Computer Science,2.18,2021/5/20,2021/5/20,True
550,Data Analysts,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-123-6625,Computer Engineering,2.85,2021/10/18,2021/10/18,True
1376,Back End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-474-9346,Information Science,3.95,2021/4/10,2021/4/10,False
980,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-744-5466,Cybersecurity,3.29,2021/1/11,2022/1/11,False
876,Front End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-750-3603,Computer Science,3.84,2021/10/19,2022/10/19,False
1205,Full Stack Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-205-7033,Computer Science,2.64,2021/3/28,2022/3/28,False
1186,Front End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-799-7335,Systems & Network Administration,3.09,2021/7/19,2022/7/19,False
721,Network Analyst,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-544-1537,Information Technology,3.1,2021/10/1,2022/10/1,True
667,Data Analysts,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-133-0748,Computer Science,2.41,2021/10/26,2021/10/26,True
1048,Software Engineer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-886-0690,Computer Engineering,3.13,2021/6/26,2021/6/26,False
673,Back End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-771-9300,Systems & Network Administration,2.44,2021/1/13,2022/1/13,False
768,Network Analyst,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-602-6477,Computer Science,2.61,2021/7/6,2022/7/6,True
1309,Front End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-721-8950,Information Systems,2.95,2021/10/11,2021/10/11,False
358,Full Stack Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-036-4392,Cybersecurity,3.69,2021/11/5,2022/11/5,False
816,Full Stack Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-034-4025,Information Systems,2.66,2021/1/28,2021/1/28,True
1182,Network Administrator,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-209-4706,Computer Science,3.37,2021/8/5,2021/8/5,True
1357,Back End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-457-6899,Information Technology,3.92,2021/3/2,2021/3/2,True
1277,Software Engineer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-760-3852,Information Science,2.31,2021/11/16,2022/11/16,False
694,Network Analyst,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-572-7414,Information Science,2.62,2021/3/12,2021/3/12,False
1210,Network Administrator,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-817-3028,Information Science,2.62,2021/3/2,2022/3/2,False
572,Full Stack Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-354-2176,Computer Engineering,2.9,2021/4/6,2021/4/6,True
386,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-939-1248,Cybersecurity,2.29,2021/2/23,2021/2/23,True
526,Network Analyst,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-866-1045,Systems & Network Administration,3.57,2021/10/17,2022/10/17,False
1213,Full Stack Developer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-134-6874,Computer Science,3.7,2021/11/5,2021/11/5,True
682,Network Administrator,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-431-7746,Information Systems,2.55,2021/6/24,2021/6/24,False
844,Back End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-912-5747,Cybersecurity,2.04,2021/9/26,2022/9/26,False
753,Network Administrator,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-678-9572,Computer Science,3.34,2021/8/8,2021/8/8,True
551,Back End Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-661-9498,Information Technology,3.2,2021/1/24,2021/1/24,True
1462,Data Analysts,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-095-7783,Computer Science,3.22,2021/11/4,2021/11/4,True
743,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-754-2542,Systems & Network Administration,3.56,2021/3/20,2021/3/20,True
874,Network Analyst,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-679-6749,Information Systems,2.87,2021/8/19,2022/8/19,True
1035,Front End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-121-7236,Systems & Network Administration,2.32,2021/2/27,2021/2/27,True
504,Front End Developer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-008-2653,Information Technology,3.51,2021/11/13,2021/11/13,True
778,Full Stack Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-098-2734,Systems & Network Administration,3.37,2021/5/12,2022/5/12,False
1076,Front End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-597-1711,Computer Engineering,2.81,2021/10/11,2021/10/11,False
1207,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-992-1361,Information Science,3.0,2021/7/13,2021/7/13,True
770,Software Engineer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-455-9783,Computer Science,2.55,2021/2/5,2021/2/5,False
546,Full Stack Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-614-8942,Information Technology,2.07,2021/12/25,2021/12/25,True
408,Data Analysts,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-385-9135,Information Science,2.95,2021/12/24,2022/12/24,True
936,Full Stack Developer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-932-9548,Systems & Network Administration,2.81,2021/5/9,2022/5/9,True
1292,Network Analyst,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-791-9259,Computer Engineering,2.41,2021/12/22,2021/12/22,False
603,Network Administrator,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-852-3844,Systems & Network Administration,3.63,2021/6/28,2022/6/28,True
912,Software Engineer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-076-8124,Computer Engineering,3.39,2021/3/13,2022/3/13,True
1471,Data Analysts,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-767-5179,Computer Engineering,2.73,2021/7/4,2022/7/4,False
728,Full Stack Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-782-7444,Information Science,2.51,2021/11/9,2021/11/9,True
335,Software Engineer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-677-5559,Information Science,3.79,2021/12/6,2021/12/6,False
594,Full Stack Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-905-3224,Information Science,2.49,2021/5/1,2021/5/1,True
648,Full Stack Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-012-1460,Information Technology,2.93,2021/9/22,2021/9/22,True
1237,Back End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-307-4963,Information Systems,2.01,2021/8/20,2021/8/20,True
1434,Network Administrator,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-451-0716,Systems & Network Administration,3.5,2021/8/27,2022/8/27,True
681,Front End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-413-8871,Information Science,3.13,2021/1/3,2022/1/3,False
1232,Data Analysts,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-022-9901,Computer Science,3.83,2021/4/8,2022/4/8,False
720,Full Stack Developer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-550-6650,Information Systems,3.28,2021/3/16,2021/3/16,False
588,Full Stack Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-505-4168,Systems & Network Administration,2.35,2021/11/22,2021/11/22,False
937,Software Engineer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-164-7145,Computer Engineering,2.76,2021/11/15,2021/11/15,True
610,Network Administrator,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-137-0794,Information Systems,2.49,2021/10/6,2022/10/6,True
612,Software Engineer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-387-5297,Computer Engineering,2.65,2021/8/15,2021/8/15,False
814,Network Administrator,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-351-6361,Information Systems,3.9,2021/9/28,2022/9/28,False
732,Back End Developer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-142-1478,Computer Science,3.76,2021/8/19,2021/8/19,True
1281,Front End Developer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-985-0991,Computer Science,3.11,2021/9/3,2021/9/3,False
1060,Software Engineer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-466-1650,Information Science,2.63,2021/11/8,2022/11/8,True
884,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-403-9120,Information Technology,2.12,2021/4/5,2021/4/5,False
1337,Full Stack Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-477-8333,Information Technology,2.97,2021/7/8,2021/7/8,True
1300,Network Administrator,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-476-7246,Cybersecurity,2.49,2021/9/18,2022/9/18,True
963,Data Analysts,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-358-1086,Computer Engineering,2.46,2021/1/18,2022/1/18,False
1419,Back End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-546-6763,Information Science,2.17,2021/4/25,2021/4/25,True
1290,Network Administrator,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-465-6874,Computer Science,2.93,2021/7/7,2021/7/7,False
1412,Software Engineer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-399-2345,Systems & Network Administration,2.52,2021/6/11,2022/6/11,True
442,Network Administrator,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-833-6003,Computer Engineering,2.62,2021/2/19,2022/2/19,True
802,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-897-3105,Computer Engineering,3.79,2021/6/21,2022/6/21,True
359,Network Analyst,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-596-2568,Computer Science,3.73,2021/10/12,2022/10/12,True
516,Network Administrator,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-639-9470,Information Science,3.62,2021/2/28,2021/2/28,True
1158,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-995-6668,Information Technology,3.98,2021/2/1,2022/2/1,True
717,Back End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-072-9322,Information Science,2.51,2021/12/11,2021/12/11,False
1198,Network Administrator,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-550-2756,Information Science,2.44,2021/5/8,2021/5/8,True
436,Software Engineer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-661-7400,Computer Engineering,3.78,2021/5/3,2021/5/3,False
893,Network Analyst,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-506-7612,Computer Engineering,3.47,2021/11/22,2021/11/22,True
1041,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-667-2932,Cybersecurity,3.45,2021/1/21,2021/1/21,False
547,Network Administrator,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-046-9052,Information Systems,2.8,2021/9/1,2022/9/1,False
731,Back End Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-912-7238,Cybersecurity,2.46,2021/2/16,2022/2/16,False
1063,Full Stack Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-572-1836,Information Science,2.94,2021/4/28,2021/4/28,True
716,Software Engineer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-340-4849,Systems & Network Administration,3.38,2021/4/6,2022/4/6,False
975,Data Analysts,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-815-0054,Computer Science,3.25,2021/1/17,2021/1/17,False
1012,Data Analysts,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-184-3851,Information Technology,2.68,2021/7/4,2022/7/4,True
940,Data Analysts,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-822-1543,Computer Science,2.73,2021/12/27,2021/12/27,True
441,Data Analysts,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-359-8955,Information Systems,3.6,2021/8/3,2022/8/3,True
1341,Network Administrator,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-530-9294,Information Technology,2.92,2021/9/1,2021/9/1,False
608,Data Analysts,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-067-5676,Cybersecurity,2.26,2021/11/9,2021/11/9,False
1456,Network Analyst,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-484-4685,Computer Engineering,2.58,2021/9/15,2022/9/15,False
885,Software Engineer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-091-4698,Information Science,3.63,2021/4/9,2022/4/9,False
888,Front End Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-821-9260,Cybersecurity,2.72,2021/4/3,2021/4/3,True
565,Data Analysts,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-929-6529,Cybersecurity,2.9,2021/6/23,2022/6/23,True
